data\test_digits_inverted\0\Zero_full (1019).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (1039).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (1051).jpg | True: 0, Pred: 3
data\test_digits_inverted\0\Zero_full (1062).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (1070).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (1081).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (1106).jpg | True: 0, Pred: 2
data\test_digits_inverted\0\Zero_full (1116).jpg | True: 0, Pred: 2
data\test_digits_inverted\0\Zero_full (1168).jpg | True: 0, Pred: 6
data\test_digits_inverted\0\Zero_full (1171).jpg | True: 0, Pred: 6
data\test_digits_inverted\0\Zero_full (1172).jpg | True: 0, Pred: 6
data\test_digits_inverted\0\Zero_full (1177).jpg | True: 0, Pred: 6
data\test_digits_inverted\0\Zero_full (1250).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (127).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (1284).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (132).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (1363).jpg | True: 0, Pred: 6
data\test_digits_inverted\0\Zero_full (1368).jpg | True: 0, Pred: 7
data\test_digits_inverted\0\Zero_full (1376).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (1395).jpg | True: 0, Pred: 8
data\test_digits_inverted\0\Zero_full (1396).jpg | True: 0, Pred: 6
data\test_digits_inverted\0\Zero_full (1403).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (1455).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (1482).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (1498).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (1559).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (1580).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (16).jpg | True: 0, Pred: 9
data\test_digits_inverted\0\Zero_full (1617).jpg | True: 0, Pred: 0
data\test_digits_inverted\0\Zero_full (1635).jpg | True: 0, Pred: 0
